Start;Ende;Datum_Start;Datum_Ende;Zeit_Start;Zeit_Ende;Dauer_h;Strombezug_kWh;Durchschnittliche_Ladeleistung_kW
02.02.2022 08:15;02.02.2022 14:15;02.02.2022;02.02.2022;8:15;14:15;6; 12.13 ; 2.02 
02.02.2022 09:15;02.02.2022 17:45;02.02.2022;02.02.2022;9:15;17:45;8.5; 5.36 ; 0.63 
02.02.2022 12:15;02.02.2022 18:00;02.02.2022;02.02.2022;12:15;18:00;5.75; 13.29 ; 2.31 
02.02.2022 16:00;02.02.2022 16:30;02.02.2022;02.02.2022;16:00;16:30;0.5; 3.92 ; 7.83 
03.02.2022 07:30;03.02.2022 11:30;03.02.2022;03.02.2022;7:30;11:30;4; 4.35 ; 1.09 
03.02.2022 07:45;03.02.2022 18:15;03.02.2022;03.02.2022;7:45;18:15;10.5; 8.89 ; 0.85 
03.02.2022 13:45;03.02.2022 17:00;03.02.2022;03.02.2022;13:45;17:00;3.25; 4.66 ; 1.43 
03.02.2022 20:00;03.02.2022 22:45;03.02.2022;03.02.2022;20:00;22:45;2.75; 26.14 ; 9.51 
04.02.2022 07:45;04.02.2022 15:15;04.02.2022;04.02.2022;7:45;15:15;7.5; 9.60 ; 1.28 
04.02.2022 10:00;04.02.2022 14:00;04.02.2022;04.02.2022;10:00;14:00;4; 11.74 ; 2.93 
04.02.2022 10:45;04.02.2022 16:00;04.02.2022;04.02.2022;10:45;16:00;5.25; 36.51 ; 6.95 
07.02.2022 07:45;07.02.2022 11:00;07.02.2022;07.02.2022;7:45;11:00;3.25; 10.37 ; 3.19 
07.02.2022 08:00;07.02.2022 11:00;07.02.2022;07.02.2022;8:00;11:00;3; 7.26 ; 2.42 
07.02.2022 08:00;07.02.2022 17:45;07.02.2022;07.02.2022;8:00;17:45;9.75; 10.84 ; 1.11 
07.02.2022 08:00;07.02.2022 13:45;07.02.2022;07.02.2022;8:00;13:45;5.75; 6.65 ; 1.16 
07.02.2022 08:15;07.02.2022 15:15;07.02.2022;07.02.2022;8:15;15:15;7; 11.82 ; 1.69 
07.02.2022 08:45;07.02.2022 13:30;07.02.2022;07.02.2022;8:45;13:30;4.75; 13.89 ; 2.93 
07.02.2022 10:45;07.02.2022 12:15;07.02.2022;07.02.2022;10:45;12:15;1.5; 0.22 ; 0.15 
08.02.2022 08:00;08.02.2022 18:15;08.02.2022;08.02.2022;8:00;18:15;10.25; 10.30 ; 1.00 
